Scenario,C_Bio,P_Bio,Bio_km,Bio_vehicle_EF,Bio_km_multiplier,Bio_EC,Co_Bio,CE_Bio,a,b,c,d,e,e2,e3,e4,C0,CP_FF ,FF_km,FF_vehicle_EF,FF_km_multiplier,EC_FF,Co_FF,CE_Fossil,MATf  ,RefMAT,Q10 ,BDRk
Chip_50km_75CE_e24_C_Bio_x3,7.89,0.76,50,0.2,1.29,9.23,112,75,646.346,0.793,364.658,66.972,24,48,72,96,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_50km_65CE_e24_C_Bio_x3,7.89,0.76,50,0.2,1.29,9.23,112,65,646.346,0.793,364.658,66.972,24,48,72,96,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Pellet_LC_90CE_MAT+0_C_Bio_x1,2.63,3,2900,0.184,1.97,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_LC_75CE_MAT+0_C_Bio_x1,2.63,3,2900,0.184,1.97,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_LC_65CE_MAT+0_C_Bio_x1,2.63,3,2900,0.184,1.97,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_WH_90CE_MAT+0_C_Bio_x1,2.63,3,1040,0.184,2.8,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_WH_75CE_MAT+0_C_Bio_x1,2.63,3,1040,0.184,2.8,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_WH_65CE_MAT+0_C_Bio_x1,2.63,3,1040,0.184,2.8,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_LC_90CE_MAT+6.3_C_Bio_x1,2.63,3,2900,0.184,1.97,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_LC_75CE_MAT+6.3_C_Bio_x1,2.63,3,2900,0.184,1.97,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_LC_65CE_MAT+6.3_C_Bio_x1,2.63,3,2900,0.184,1.97,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_WH_90CE_MAT+6.3_C_Bio_x1,2.63,3,1040,0.184,2.8,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
Pellet_WH_75CE_MAT+6.3_C_Bio_x1,2.63,3,1040,0.184,2.8,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
Pellet_WH_65CE_MAT+6.3_C_Bio_x1,2.63,3,1040,0.184,2.8,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
Pellet_LC_90CE_MAT+0_C_Bio_x0.5,1.32,3,2900,0.184,1.97,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_LC_75CE_MAT+0_C_Bio_x0.5,1.32,3,2900,0.184,1.97,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_LC_65CE_MAT+0_C_Bio_x0.5,1.32,3,2900,0.184,1.97,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_WH_90CE_MAT+0_C_Bio_x0.5,1.32,3,1040,0.184,2.8,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_WH_75CE_MAT+0_C_Bio_x0.5,1.32,3,1040,0.184,2.8,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_WH_65CE_MAT+0_C_Bio_x0.5,1.32,3,1040,0.184,2.8,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_LC_90CE_MAT+6.3_C_Bio_x0.5,1.32,3,2900,0.184,1.97,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_LC_75CE_MAT+6.3_C_Bio_x0.5,1.32,3,2900,0.184,1.97,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_LC_65CE_MAT+6.3_C_Bio_x0.5,1.32,3,2900,0.184,1.97,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_WH_90CE_MAT+6.3_C_Bio_x0.5,1.32,3,1040,0.184,2.8,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
Pellet_WH_75CE_MAT+6.3_C_Bio_x0.5,1.32,3,1040,0.184,2.8,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
Pellet_WH_65CE_MAT+6.3_C_Bio_x0.5,1.32,3,1040,0.184,2.8,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
Pellet_LC_90CE_MAT+0_C_Bio_x0.2,0.53,3,2900,0.184,1.97,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_LC_75CE_MAT+0_C_Bio_x0.2,0.53,3,2900,0.184,1.97,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_LC_65CE_MAT+0_C_Bio_x0.2,0.53,3,2900,0.184,1.97,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,-1,10,2,0.1435
Pellet_WH_90CE_MAT+0_C_Bio_x0.2,0.53,3,1040,0.184,2.8,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_WH_75CE_MAT+0_C_Bio_x0.2,0.53,3,1040,0.184,2.8,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_WH_65CE_MAT+0_C_Bio_x0.2,0.53,3,1040,0.184,2.8,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,0,10,2,0.1435
Pellet_LC_90CE_MAT+6.3_C_Bio_x0.2,0.53,3,2900,0.184,1.97,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_LC_75CE_MAT+6.3_C_Bio_x0.2,0.53,3,2900,0.184,1.97,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_LC_65CE_MAT+6.3_C_Bio_x0.2,0.53,3,2900,0.184,1.97,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,5.3,10,2,0.1435
Pellet_WH_90CE_MAT+6.3_C_Bio_x0.2,0.53,3,1040,0.184,2.8,19.7,112,90,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
Pellet_WH_75CE_MAT+6.3_C_Bio_x0.2,0.53,3,1040,0.184,2.8,19.7,112,75,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
Pellet_WH_65CE_MAT+6.3_C_Bio_x0.2,0.53,3,1040,0.184,2.8,19.7,112,65,0,0,0,0,0,0,0,0,112,14.9,1039,0.184,2.8,44.3,75,70,6.3,10,2,0.1435
